inds	Country	Region	Locality	Land_use
125_TchZ1_tcho_fo_pl2_G2	Tchad	Tandjile	Tchoua	Foret
126_TchZ1_tcho_fo_pl2_H2	Tchad	Tandjile	Tchoua	Foret
129_TchZ1_tcho_ch_pl2_A3	Tchad	Tandjile	Tchoua	Champ
130_TchZ1_tcho_ch_pl2_B3	Tchad	Tandjile	Tchoua	Champ
131_TchZ1_tcho_ch_pl2_C3	Tchad	Tandjile	Tchoua	Champ
132_TchZ1_tcho_ch_pl2_D3	Tchad	Tandjile	Tchoua	Champ
133_TchZ1_tcho_ch_pl2_E3	Tchad	Tandjile	Tchoua	Champ
134_TchZ1_tcho_ch_pl2_F3	Tchad	Tandjile	Tchoua	Champ
135_TchZ1_tcho_ch_pl2_G3	Tchad	Tandjile	Tchoua	Champ
137_TchZ1_tcho_fo_pl2_H3	Tchad	Tandjile	Tchoua	Foret
138_TchZ1_tcho_fo_pl2_A4	Tchad	Tandjile	Tchoua	Foret
139_TchZ1_tcho_fo_pl2_B4	Tchad	Tandjile	Tchoua	Foret
140_TchZ1_tcho_ch_pl2_C4	Tchad	Tandjile	Tchoua	Champ
141_TchZ1_tcho_ch_pl2_D4	Tchad	Tandjile	Tchoua	Champ
142_TchZ1_tcho_ch_pl2_E4	Tchad	Tandjile	Tchoua	Champ
143_TchZ1_tcho_ch_pl2_F4	Tchad	Tandjile	Tchoua	Champ
145_TchZ1_tcho_ch_pl2_G4	Tchad	Tandjile	Tchoua	Champ
146_TchZ1_tcho_ch_pl2_H4	Tchad	Tandjile	Tchoua	Champ
147_TchZ1_tcho_ch_pl2_A5	Tchad	Tandjile	Tchoua	Champ
148_TchZ1_tcho_ch_pl2_B5	Tchad	Tandjile	Tchoua	Champ
149_TchZ1_tcho_ch_pl2_C5	Tchad	Tandjile	Tchoua	Champ
150_TchZ1_tcho_ch_pl2_D5	Tchad	Tandjile	Tchoua	Champ
151_TchZ1_tcho_ch_pl2_E5	Tchad	Tandjile	Tchoua	Champ
153_TchZ1_tcho_ch_pl2_F5	Tchad	Tandjile	Tchoua	Champ
154_TchZ1_tcho_ch_pl2_G5	Tchad	Tandjile	Tchoua	Champ
155_TchZ1_kemk_ch_pl2_H5	Tchad	Mandoul	Kemkiam	Champ
156_TchZ1_kemk_ch_pl2_A6	Tchad	Mandoul	Kemkiam	Champ
157_TchZ1_kemk_ch_pl2_B6	Tchad	Mandoul	Kemkiam	Champ
158_TchZ1_kemk_ch_pl2_C6	Tchad	Mandoul	Kemkiam	Champ
159_TchZ1_kemk_ch_pl2_D6	Tchad	Mandoul	Kemkiam	Champ
161_TchZ1_kemk_ch_pl2_E6	Tchad	Mandoul	Kemkiam	Champ
162_TchZ1_kemk_ch_pl2_F6	Tchad	Mandoul	Kemkiam	Champ
163_TchZ1_kemk_ch_pl2_G6	Tchad	Mandoul	Kemkiam	Champ
164_TchZ1_kemk_ch_pl2_H6	Tchad	Mandoul	Kemkiam	Champ
165_TchZ1_kemk_ch_pl2_A7	Tchad	Mandoul	Kemkiam	Champ
166_TchZ1_kemk_ch_pl2_B7	Tchad	Mandoul	Kemkiam	Champ
167_TchZ1_kemk_ch_pl2_C7	Tchad	Mandoul	Kemkiam	Champ
169_TchZ1_kemk_ch_pl2_D7	Tchad	Mandoul	Kemkiam	Champ
170_TchZ1_kemk_ch_pl2_E7	Tchad	Mandoul	Kemkiam	Champ
171_TchZ1_kemk_ch_pl2_F7	Tchad	Mandoul	Kemkiam	Champ
172_TchZ1_kemk_ch_pl2_G7	Tchad	Mandoul	Kemkiam	Champ
173_TchZ1_kemk_ch_pl2_H7	Tchad	Mandoul	Kemkiam	Champ
174_TchZ1_kemk_ch_pl2_A8	Tchad	Mandoul	Kemkiam	Champ
175_TchZ1_kemk_ch_pl2_B8	Tchad	Mandoul	Kemkiam	Champ
178_TchZ1_kaga_ja_pl2_C8	Tchad	Moyen-Chari	Kagala	Jachare
179_TchZ1_kaga_ja_pl2_D8	Tchad	Moyen-Chari	Kagala	Jachare
180_TchZ1_kaga_ja_pl2_E8	Tchad	Moyen-Chari	Kagala	Jachare
181_TchZ1_kaga_ja_pl2_F8	Tchad	Moyen-Chari	Kagala	Jachare
182_TchZ1_kaga_ja_pl2_G8	Tchad	Moyen-Chari	Kagala	Jachare
183_TchZ1_kaga_ja_pl2_H8	Tchad	Moyen-Chari	Kagala	Jachare
185_TchZ1_kaga_ja_pl2_A9	Tchad	Moyen-Chari	Kagala	Jachare
186_TchZ1_kaga_ja_pl2_B9	Tchad	Moyen-Chari	Kagala	Jachare
187_TchZ1_kaga_ja_pl2_C9	Tchad	Moyen-Chari	Kagala	Jachare
188_TchZ1_kaga_ja_pl2_D9	Tchad	Moyen-Chari	Kagala	Jachare
189_TchZ1_kaga_ja_pl2_E9	Tchad	Moyen-Chari	Kagala	Jachare
190_TchZ1_kaga_ja_pl2_F9	Tchad	Moyen-Chari	Kagala	Jachare
191_TchZ1_kaga_ja_pl2_G9	Tchad	Moyen-Chari	Kagala	Jachare
192_TchZ1_kaga_ja_pl2_H9	Tchad	Moyen-Chari	Kagala	Jachare
193_TchZ1_kaga_ja_pl2_A10	Tchad	Moyen-Chari	Kagala	Jachare
194_TchZ1_kaga_ja_pl2_B10	Tchad	Moyen-Chari	Kagala	Jachare
195_TchZ1_kaga_ja_pl2_C10	Tchad	Moyen-Chari	Kagala	Jachare
196_TchZ1_kaga_ch_pl2_D10	Tchad	Moyen-Chari	Kagala	Champ
197_TchZ1_kaga_ch_pl2_E10	Tchad	Moyen-Chari	Kagala	Champ
198_TchZ1_kaga_ch_pl2_F10	Tchad	Moyen-Chari	Kagala	Champ
199_TchZ1_kaga_ch_pl2_G10	Tchad	Moyen-Chari	Kagala	Champ
201_TchZ1_kaga_ja_pl2_H10	Tchad	Moyen-Chari	Kagala	Jachare
202_TchZ1_kaga_ja_pl2_A11	Tchad	Moyen-Chari	Kagala	Jachare
203_TchZ1_kaga_ja_pl2_B11	Tchad	Moyen-Chari	Kagala	Jachare
204_CmrZ2_kani_ca_pl2_C11	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
205_CmrZ2_kani_ca_pl2_D11	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
206_CmrZ2_kani_ca_pl2_E11	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
207_CmrZ2_kani_ca_pl2_F11	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
210_CmrZ2_kani_ca_pl2_G11	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
211_CmrZ2_kani_ca_pl2_H11	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
212_CmrZ2_kani_ca_pl2_A12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
213_CmrZ2_kani_ca_pl2_B12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
214_CmrZ2_kani_ca_pl2_C12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
215_CmrZ2_kani_ca_pl2_D12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
216_CmrZ2_kani_ca_pl2_E12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
218_CmrZ2_kani_ca_pl2_F12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
219_CmrZ2_kani_ca_pl2_G12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
220_CmrZ2_kani_ca_pl2_H12	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
221_CmrZ2_kani_ca_pl3_A1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
222_CmrZ2_kani_ca_pl3_B1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
223_CmrZ2_kani_ca_pl3_C1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
224_CmrZ2_kani_ca_pl3_D1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
225_CmrZ2_kani_ca_pl3_E1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
