�..Taxa	Taxa.Name	Pays	Region	Localite.population.	Types.d.utilisations.des.terres
24	CmrZ2-dana_sn-pl3-H7-287	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
25	CmrZ2-dana_sn-pl3-H8-295	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
53	CmrZ2-tsana_ca-pl4-A1-326	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
54	CmrZ2-tsana_ca-pl4-A2-334	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
55	CmrZ2-tsana_ca-pl4-A3-342	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
56	CmrZ2-tsana_ca-pl4-B1-327	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
57	CmrZ2-tsana_ca-pl4-B2-335	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
58	CmrZ2-tsana_ca-pl4-B3-343	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
59	CmrZ2-tsana_ca-pl4-C2-336	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
60	CmrZ2-tsana_ca-pl4-C3-344	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
61	CmrZ2-tsana_ca-pl4-D1-329	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
62	CmrZ2-tsana_ca-pl4-D2-337	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
63	CmrZ2-tsana_ca-pl4-D3-345	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
64	CmrZ2-tsana_ca-pl4-E1-330	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
65	CmrZ2-tsana_ca-pl4-E2-338	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
66	CmrZ2-tsana_ca-pl4-E3-346	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
67	CmrZ2-tsana_ca-pl4-F1-331	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
68	CmrZ2-tsana_ca-pl4-F2-339	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
69	CmrZ2-tsana_ca-pl4-F3-347	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
70	CmrZ2-tsana_ca-pl4-G1-332	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
71	CmrZ2-tsana_ca-pl4-H1-333	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
72	CmrZ2-tsana_ca-pl4-H2-341	CAMEROUN	Extreme-Nord	Mayo-Tsana	Champ agricole
73	CmrZ2-tsana_sn-pl3-B9-302	CAMEROUN	Extreme-Nord	Mayo-Tsana	Savane naturelle
74	CmrZ3-basc_ca-pl4-A10-401	CAMEROUN	Nord	Bascheo	Champ agricole
75	CmrZ3-basc_ca-pl4-A7-377	CAMEROUN	Nord	Bascheo	Champ agricole
76	CmrZ3-basc_ca-pl4-A8-385	CAMEROUN	Nord	Bascheo	Champ agricole
77	CmrZ3-basc_ca-pl4-A9-393	CAMEROUN	Nord	Bascheo	Champ agricole
78	CmrZ3-basc_ca-pl4-B8-386	CAMEROUN	Nord	Bascheo	Champ agricole
79	CmrZ3-basc_ca-pl4-B9-394	CAMEROUN	Nord	Bascheo	Champ agricole
80	CmrZ3-basc_ca-pl4-C7-379	CAMEROUN	Nord	Bascheo	Champ agricole
81	CmrZ3-basc_ca-pl4-C9-395	CAMEROUN	Nord	Bascheo	Champ agricole
82	CmrZ3-basc_ca-pl4-D8-388	CAMEROUN	Nord	Bascheo	Champ agricole
83	CmrZ3-basc_ca-pl4-E9-397	CAMEROUN	Nord	Bascheo	Champ agricole
84	CmrZ3-basc_ca-pl4-F7-382	CAMEROUN	Nord	Bascheo	Champ agricole
85	CmrZ3-basc_ca-pl4-F8-390	CAMEROUN	Nord	Bascheo	Champ agricole
86	CmrZ3-basc_ca-pl4-F9-398	CAMEROUN	Nord	Bascheo	Champ agricole
87	CmrZ3-basc_ca-pl4-G9-399	CAMEROUN	Nord	Bascheo	Champ agricole
88	CmrZ3-basc_ca-pl4-H7-384	CAMEROUN	Nord	Bascheo	Champ agricole
89	CmrZ3-basc_ca-pl4-H8-392	CAMEROUN	Nord	Bascheo	Champ agricole
90	CmrZ3-basc_ca-pl4-H9-400	CAMEROUN	Nord	Bascheo	Champ agricole
91	CmrZ3-basc_sn-pl4-A4-352	CAMEROUN	Nord	Bascheo	Savane naturelle
92	CmrZ3-basc_sn-pl4-A5-361	CAMEROUN	Nord	Bascheo	Savane naturelle
93	CmrZ3-basc_sn-pl4-A6-369	CAMEROUN	Nord	Bascheo	Savane naturelle
94	CmrZ3-basc_sn-pl4-B4-354	CAMEROUN	Nord	Bascheo	Savane naturelle
95	CmrZ3-basc_sn-pl4-C4-355	CAMEROUN	Nord	Bascheo	Savane naturelle
96	CmrZ3-basc_sn-pl4-C6-371	CAMEROUN	Nord	Bascheo	Savane naturelle
97	CmrZ3-basc_sn-pl4-D4-356	CAMEROUN	Nord	Bascheo	Savane naturelle
98	CmrZ3-basc_sn-pl4-E4-357	CAMEROUN	Nord	Bascheo	Savane naturelle
99	CmrZ3-basc_sn-pl4-E6-372	CAMEROUN	Nord	Bascheo	Savane naturelle
100	CmrZ3-basc_sn-pl4-F4-358	CAMEROUN	Nord	Bascheo	Savane naturelle
101	CmrZ3-basc_sn-pl4-F5-366	CAMEROUN	Nord	Bascheo	Savane naturelle
102	CmrZ3-basc_sn-pl4-F6-373	CAMEROUN	Nord	Bascheo	Savane naturelle
103	CmrZ3-basc_sn-pl4-F6-375	CAMEROUN	Nord	Bascheo	Savane naturelle
104	CmrZ3-basc_sn-pl4-G3-350	CAMEROUN	Nord	Bascheo	Savane naturelle
105	CmrZ3-basc_sn-pl4-G4-359	CAMEROUN	Nord	Bascheo	Savane naturelle
106	CmrZ3-basc_sn-pl4-G5-367	CAMEROUN	Nord	Bascheo	Savane naturelle
107	CmrZ3-basc_sn-pl4-G6-374	CAMEROUN	Nord	Bascheo	Savane naturelle
108	CmrZ3-basc_sn-pl4-H3-351	CAMEROUN	Nord	Bascheo	Savane naturelle
109	CmrZ3-basc_sn-pl4-H4-360	CAMEROUN	Nord	Bascheo	Savane naturelle
110	CmrZ3-basc_sn-pl4-H5-368	CAMEROUN	Nord	Bascheo	Savane naturelle
111	CmrZ3-basc_sn-pl4-H6-376	CAMEROUN	Nord	Bascheo	Savane naturelle
140	CmrZ3-tche_ca-pl4-A11-409	CAMEROUN	Nord	Tcheboa	Champ agricole
141	CmrZ3-tche_ca-pl4-A12-417	CAMEROUN	Nord	Tcheboa	Champ agricole
142	CmrZ3-tche_ca-pl4-B12-418	CAMEROUN	Nord	Tcheboa	Champ agricole
143	CmrZ3-tche_ca-pl4-C12-419	CAMEROUN	Nord	Tcheboa	Champ agricole
144	CmrZ3-tche_ca-pl4-D12-420	CAMEROUN	Nord	Tcheboa	Champ agricole
145	CmrZ3-tche_ca-pl4-E12-421	CAMEROUN	Nord	Tcheboa	Champ agricole
146	CmrZ3-tche_ca-pl4-F10-406	CAMEROUN	Nord	Tcheboa	Champ agricole
147	CmrZ3-tche_ca-pl4-F11-414	CAMEROUN	Nord	Tcheboa	Champ agricole
148	CmrZ3-tche_ca-pl4-F12-422	CAMEROUN	Nord	Tcheboa	Champ agricole
149	CmrZ3-tche_ca-pl4-G10-407	CAMEROUN	Nord	Tcheboa	Champ agricole
150	CmrZ3-tche_ca-pl4-G11-415	CAMEROUN	Nord	Tcheboa	Champ agricole
151	CmrZ3-tche_ca-pl4-G12-423	CAMEROUN	Nord	Tcheboa	Champ agricole
152	CmrZ3-tche_ca-pl4-H10-408	CAMEROUN	Nord	Tcheboa	Champ agricole
153	CmrZ3-tche_ca-pl4-H11-416	CAMEROUN	Nord	Tcheboa	Champ agricole
154	CmrZ3-tche_ca-pl5-A1-425	CAMEROUN	Nord	Tcheboa	Champ agricole
